# Table of opcodes,,,,,,,,,,,,,,,,,,
,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,xA,xB,xC,xD,xE,xF,,
0x,BRK IMP,ORA ZIX,-,-,[TSB ZPG],ORA ZPG,ASL ZPG,[RMB0 ZPG],PHP IMP,ORA IMM,ASL ACC,-,[TSB ABS],ORA ABS,ASL ABS,[BBR0 ZPR],,
1x,BPL REL,ORA ZIY,[ORA ZPI],-,[TRB ZPG],ORA ZPX,ASL ZPX,[RMB1 ZPG],CLC IMP,ORA ABY,[INC ACC],-,[TRB ABS],ORA ABX,ASL ABX,[BBR1 ZPR],,
2x,JSR ABS,AND ZIX,-,-,BIT ZPG,AND ZPG,ROL ZPG,[RMB2 ZPG],PLP IMP,AND IMM,ROL ACC,-,BIT ABS,AND ABS,ROL ABS,[BBR2 ZPR],,
3x,BMI REL,AND ZIY,[AND ZPI],-,[BIT ZPX],AND ZPX,ROL ZPX,[RMB3 ZPG],SEC IMP,AND ABY,[DEC ACC],-,[BIT ABX],AND ABX,ROL ABX,[BBR3 ZPR],,
4x,RTI IMP,EOR ZIX,-,-,-,EOR ZPG,LSR ZPG,[RMB4 ZPG],PHA IMP,EOR IMM,LSR ACC,-,JMP ABS,EOR ABS,LSR ABS,[BBR5 ZPR],,
5x,BVC REL,EOR ZIY,[EOR ZPI],-,-,EOR ZPX,LSR ZPX,[RMB5 ZPG],CLI IMP,EOR ABY,[PHY IMP],-,-,EOR ABX,LSR ABX,[BBR5 ZPR],,
6x,RTS IMP,ADC ZIX,-,-,[STZ ZPG],ADC ZPG,ROR ZPG,[RMB6 ZPG],PLA IMP,ADC IMM,ROR ACC,-,JMP IND,ADC ABS,ROR ABS,[BBR6 ZPR],,
7x,BVS REL,ADC ZIY,[ADC ZPI],-,[STZ ZPX],ADC ZPX,ROR ZPX,[RMB7 ZPG],SEI IMP,ADC ABY,[PLY IMP],-,[JMP AXI],ADC ABX,ROR ABX,[BBR7 ZPR],,
8x,[BRA REL],STA ZIX,-,-,STY ZPG,STA ZPG,STX ZPG,[SMB0 ZPG],DEY IMP,[BIT IMM],TXA IMP,-,STY ABS,STA ABS,STX ABS,[BBS0 ZPR],,
9x,BCC REL,STA ZIY,[STA ZPI],-,STY ZPX,STA ZPX,STX ZPY,[SMB1 ZPG],TYA IMP,STA ABY,TXS IMP,-,[STZ ABS],STA ABX,[STZ ABX],[BBS1 ZPR],,
Ax,LDY IMM,LDA ZIX,LDX IMM,-,LDY ZPG,LDA ZPG,LDX ZPG,[SMB2 ZPG],TAY IMP,LDA IMM,TAX IMP,-,LDY ABS,LDA ABS,LDX ABS,[BBS2 ZPR],,
Bx,BCS REL,LDA ZIY,[LDA ZPI],-,LDY ZPX,LDA ZPX,LDX ZPY,[SMB3 ZPG],CLV IMP,LDA ABY,TSX IMP,-,LDY ABX,LDA ABX,LDX ABY,[BBS3 ZPR],,
Cx,CPY IMM,CMP ZIX,-,-,CPY ZPG,CMP ZPG,DEC ZPG,[SMB4 ZPG],INY IMP,CMP IMM,DEX IMP,-,CPY ABS,CMP ABS,DEC ABS,[BBS4 ZPR],,
Dx,BNE REL,CMP ZIY,[CMP ZPI],-,-,CMP ZPX,DEC ZPX,[SMB5 ZPG],CLD IMP,CMP ABY,[PHX IMP],-,-,CMP ABX,DEC ABX,[BBS5 ZPR],,
Ex,CPX IMM,SBC ZIX,-,-,CPX ZPG,SBC ZPG,INC ZPG,[SMB6 ZPG],INX IMP,SBC IMM,NOP IMP,-,CPX ABS,SBC ABS,INC ABS,[BBS6 ZPR],,
Fx,BEQ REL,SBC ZIY,[SBC ZPI],-,-,SBC ZPX,INC ZPX,[SMB7 ZPG],SED IMP,SBC ABY,[PLX IMP],-,-,SBC ABX,INC ABX,[BBS7 ZPR],,
Entries between [] are added to the 65C02 (in addition to the existing ones from the MOS 6502),,,,,,,,,,,,,,,,,,
# Table of adressing modes,,,,,,,,,,,,,,,,,,
ABS,OPC HHLL,,absolute,,,,,,,,,,,,,,,
ABX,"OPC HHLL,X",,"absolute, indexed with x",,,,,,,,,,,,,,,
ABY,"OPC HHLL,Y",,"absolute, indexed with y",,,,,,,,,,,,,,,
ACC,OPC A,,accumulator,,,,,,,,,,,,,,,
IMM,OPC #NN,,immediate,,,,,,,,,,,,,,,
IMP,OPC,,implied,,,,,,,,,,,,,,,
IND,OPC (HHLL),,indirect,,,,,,,,,,,,,,,
REL,OPC +NN,,relative to PC,,,,,,,,,,,,,,,
ZXI,"OPC (LL,X)",,"zero page, indexed with x, indirect",,,,,,,,,,,,,,,
ZIY,"OPC (LL),Y",,"zero page, indirect, indexed with y",,,,,,,,,,,,,,,
ZPG,OPC *LL,,zero page,,,,,,,,,,,,,,,
ZPX,"OPC *LL,X  ",,"zero page, indexed with x",,,,,,,,,,,,,,,
ZPY,"OPC *LL,Y  ",,"zero page, indexed with y",,,,,,,,,,,,,,,
[AXI],"OPC (HHLL,X)",,"absolute, indexed with X, indirect",,,,,,,,,,,,,,,
[ZPR],"OPC *LL,+NN",,zeropage and relative,,,,,,,,,,,,,,,
[ZPI],OPC (*LL),,zeropage indirect,,,,,,,,,,,,,,,
